manifest_order,id,source_database,acquisition_mode,prrsv_type
1,PX495223.1,NCBI nucleotide,historical_frozen_dataset,Type I
2,PX495222.1,NCBI nucleotide,historical_frozen_dataset,Type I
3,PX495221.1,NCBI nucleotide,historical_frozen_dataset,Type I
4,PX495220.1,NCBI nucleotide,historical_frozen_dataset,Type I
5,PX495219.1,NCBI nucleotide,historical_frozen_dataset,Type I
6,PX123095.1,NCBI nucleotide,historical_frozen_dataset,Type I
7,PX123086.1,NCBI nucleotide,historical_frozen_dataset,Type I
8,PX123074.1,NCBI nucleotide,historical_frozen_dataset,Type I
9,OR800828.1,NCBI nucleotide,historical_frozen_dataset,Type I
10,OR540454.1,NCBI nucleotide,historical_frozen_dataset,Type I
11,OR540453.1,NCBI nucleotide,historical_frozen_dataset,Type I
12,OR540452.1,NCBI nucleotide,historical_frozen_dataset,Type I
13,OR540451.1,NCBI nucleotide,historical_frozen_dataset,Type I
14,OR540450.1,NCBI nucleotide,historical_frozen_dataset,Type I
15,OR540449.1,NCBI nucleotide,historical_frozen_dataset,Type I
16,OR540448.1,NCBI nucleotide,historical_frozen_dataset,Type I
17,OR540447.1,NCBI nucleotide,historical_frozen_dataset,Type I
18,OR540446.1,NCBI nucleotide,historical_frozen_dataset,Type I
19,OR540445.1,NCBI nucleotide,historical_frozen_dataset,Type I
20,OR540444.1,NCBI nucleotide,historical_frozen_dataset,Type I
21,OR540443.1,NCBI nucleotide,historical_frozen_dataset,Type I
22,OR540442.1,NCBI nucleotide,historical_frozen_dataset,Type I
23,OR540441.1,NCBI nucleotide,historical_frozen_dataset,Type I
24,OR540440.1,NCBI nucleotide,historical_frozen_dataset,Type I
25,OR540439.1,NCBI nucleotide,historical_frozen_dataset,Type I
26,OR540438.1,NCBI nucleotide,historical_frozen_dataset,Type I
27,OR540437.1,NCBI nucleotide,historical_frozen_dataset,Type I
28,OR540436.1,NCBI nucleotide,historical_frozen_dataset,Type I
29,OR540435.1,NCBI nucleotide,historical_frozen_dataset,Type I
30,OR540434.1,NCBI nucleotide,historical_frozen_dataset,Type I
31,OR540433.1,NCBI nucleotide,historical_frozen_dataset,Type I
32,OR540432.1,NCBI nucleotide,historical_frozen_dataset,Type I
33,OR540431.1,NCBI nucleotide,historical_frozen_dataset,Type I
34,OR540430.1,NCBI nucleotide,historical_frozen_dataset,Type I
35,OR540429.1,NCBI nucleotide,historical_frozen_dataset,Type I
36,OR540428.1,NCBI nucleotide,historical_frozen_dataset,Type I
37,OR540427.1,NCBI nucleotide,historical_frozen_dataset,Type I
38,OR540426.1,NCBI nucleotide,historical_frozen_dataset,Type I
39,OR540425.1,NCBI nucleotide,historical_frozen_dataset,Type I
40,OR540424.1,NCBI nucleotide,historical_frozen_dataset,Type I
41,PX123104.1,NCBI nucleotide,historical_frozen_dataset,Type II
42,PX123103.1,NCBI nucleotide,historical_frozen_dataset,Type II
43,PX123102.1,NCBI nucleotide,historical_frozen_dataset,Type II
44,PX123101.1,NCBI nucleotide,historical_frozen_dataset,Type II
45,PX123100.1,NCBI nucleotide,historical_frozen_dataset,Type II
46,PX123099.1,NCBI nucleotide,historical_frozen_dataset,Type II
47,PX123098.1,NCBI nucleotide,historical_frozen_dataset,Type II
48,PX123097.1,NCBI nucleotide,historical_frozen_dataset,Type II
49,PX123096.1,NCBI nucleotide,historical_frozen_dataset,Type II
50,PX123094.1,NCBI nucleotide,historical_frozen_dataset,Type II
51,PX123093.1,NCBI nucleotide,historical_frozen_dataset,Type II
52,PX123092.1,NCBI nucleotide,historical_frozen_dataset,Type II
53,PX123091.1,NCBI nucleotide,historical_frozen_dataset,Type II
54,PX123090.1,NCBI nucleotide,historical_frozen_dataset,Type II
55,PX123089.1,NCBI nucleotide,historical_frozen_dataset,Type II
56,PX123088.1,NCBI nucleotide,historical_frozen_dataset,Type II
57,PX123087.1,NCBI nucleotide,historical_frozen_dataset,Type II
58,PX123085.1,NCBI nucleotide,historical_frozen_dataset,Type II
59,PX123084.1,NCBI nucleotide,historical_frozen_dataset,Type II
60,PX123083.1,NCBI nucleotide,historical_frozen_dataset,Type II
61,PX123082.1,NCBI nucleotide,historical_frozen_dataset,Type II
62,PX123081.1,NCBI nucleotide,historical_frozen_dataset,Type II
63,PX123080.1,NCBI nucleotide,historical_frozen_dataset,Type II
64,PX123079.1,NCBI nucleotide,historical_frozen_dataset,Type II
65,PX123078.1,NCBI nucleotide,historical_frozen_dataset,Type II
66,PX123077.1,NCBI nucleotide,historical_frozen_dataset,Type II
67,PX123076.1,NCBI nucleotide,historical_frozen_dataset,Type II
68,PX123075.1,NCBI nucleotide,historical_frozen_dataset,Type II
69,PX123073.1,NCBI nucleotide,historical_frozen_dataset,Type II
70,PX123072.1,NCBI nucleotide,historical_frozen_dataset,Type II
71,PX123071.1,NCBI nucleotide,historical_frozen_dataset,Type II
72,PX123070.1,NCBI nucleotide,historical_frozen_dataset,Type II
73,PX123069.1,NCBI nucleotide,historical_frozen_dataset,Type II
74,PX123068.1,NCBI nucleotide,historical_frozen_dataset,Type II
75,PX123067.1,NCBI nucleotide,historical_frozen_dataset,Type II
76,PV958076.1,NCBI nucleotide,historical_frozen_dataset,Type II
77,PV958075.1,NCBI nucleotide,historical_frozen_dataset,Type II
78,PV958074.1,NCBI nucleotide,historical_frozen_dataset,Type II
79,PV958073.1,NCBI nucleotide,historical_frozen_dataset,Type II
80,PV958072.1,NCBI nucleotide,historical_frozen_dataset,Type II
