n,accession,status,record_length,cds_count,orf5_count,orf5_locations,orf5_lengths,orf5_products,error
1,PX495223.1,OK,606,1,1,[0:606](+),606,glycoprotein 5,
2,PX495222.1,OK,606,1,1,[0:606](+),606,glycoprotein 5,
3,PX495221.1,OK,606,1,1,[0:606](+),606,glycoprotein 5,
4,PX495220.1,OK,606,1,1,[0:606](+),606,glycoprotein 5,
5,PX495219.1,OK,606,1,1,[0:606](+),606,glycoprotein 5,
6,PX123095.1,OK,606,1,1,[0:606](+),606,envelope glycoprotein 5,
7,PX123086.1,OK,606,1,1,[0:606](+),606,envelope glycoprotein 5,
8,PX123074.1,OK,606,1,1,[0:606](+),606,envelope glycoprotein 5,
9,OR800828.1,OK,606,1,1,[0:606](+),606,GP5 protein,
10,OR540454.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
11,OR540453.1,OK,600,1,1,[0:600](+),600,glycoprotein 5,
12,OR540452.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
13,OR540451.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
14,OR540450.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
15,OR540449.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
16,OR540448.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
17,OR540447.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
18,OR540446.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
19,OR540445.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
20,OR540444.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
21,OR540443.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
22,OR540442.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
23,OR540441.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
24,OR540440.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
25,OR540439.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
26,OR540438.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
27,OR540437.1,OK,600,1,1,[0:600](+),600,glycoprotein 5,
28,OR540436.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
29,OR540435.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
30,OR540434.1,OK,606,1,1,[0:606](+),606,glycoprotein 5,
31,OR540433.1,OK,606,1,1,[0:606](+),606,glycoprotein 5,
32,OR540432.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
33,OR540431.1,OK,600,1,1,[0:600](+),600,glycoprotein 5,
34,OR540430.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
35,OR540429.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
36,OR540428.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
37,OR540427.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
38,OR540426.1,OK,600,1,1,[0:600](+),600,glycoprotein 5,
39,OR540425.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
40,OR540424.1,OK,603,1,1,[0:603](+),603,glycoprotein 5,
41,PX123104.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
42,PX123103.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
43,PX123102.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
44,PX123101.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
45,PX123100.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
46,PX123099.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
47,PX123098.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
48,PX123097.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
49,PX123096.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
50,PX123094.1,OK,603,1,1,[0:603](+),603,envelope glycoprotein 5,
