accession,pipeline_type,record_description,organism,source_text,type_I_evidence,type_II_evidence,status,error
PX495223.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 strain 010523exp isolate sl5vnz glycoprotein 5 (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | strain=010523exp | isolate=sl5vnz | host=Sus scrofa | db_xref=taxon:1965066 | geo_loc_name=Russia | collection_date=Jun-2023 | note=010523,True,False,SUPPORTED,
PX495222.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 strain Verres-4 isolate sl4vlv glycoprotein 5 (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | strain=Verres-4 | isolate=sl4vlv | host=Sus scrofa | db_xref=taxon:1965066 | geo_loc_name=Russia | collection_date=Jul-2025 | note=4,True,False,SUPPORTED,
PX495221.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 strain DV-MLV isolate sl3dm glycoprotein 5 (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | strain=DV-MLV | isolate=sl3dm | host=Sus scrofa | db_xref=taxon:1965066 | geo_loc_name=Russia | collection_date=May-2023 | note=A225DD01,True,False,SUPPORTED,
PX495220.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 strain 94881 isolate sl294881 glycoprotein 5 (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | strain=94881 | isolate=sl294881 | host=Sus scrofa | db_xref=taxon:1965066 | geo_loc_name=Russia | collection_date=Apr-2023 | note=3900144AA,True,False,SUPPORTED,
PX495219.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 strain Unistrain-VP-046-bis isolate sl1uvp046 glycoprotein 5 (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | strain=Unistrain-VP-046-bis | isolate=sl1uvp046 | host=Sus scrofa | db_xref=taxon:1965066 | geo_loc_name=Russia | collection_date=Oct-2022 | note=96D2,True,False,SUPPORTED,
PX123095.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 strain XJLETU5-29 envelope glycoprotein 5 (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | strain=XJLETU5-29 | host=swine | db_xref=taxon:1965066 | geo_loc_name=China | collection_date=23-Jan-2025,True,False,SUPPORTED,
PX123086.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 strain XJLETU5-20 envelope glycoprotein 5 (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | strain=XJLETU5-20 | host=swine | db_xref=taxon:1965066 | geo_loc_name=China | collection_date=23-Jan-2025,True,False,SUPPORTED,
PX123074.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 strain XJLETU5-8 envelope glycoprotein 5 (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | strain=XJLETU5-8 | host=swine | db_xref=taxon:1965066 | geo_loc_name=China | collection_date=01-Nov-2024,True,False,SUPPORTED,
OR800828.1,Type I,"Porcine reproductive and respiratory syndrome virus 1 isolate VNUA/PRRSV/HY4/22 GP5 protein (ORF5) gene, complete cds",porcine reproductive and respiratory syndrome virus 1,organism=porcine reproductive and respiratory syndrome virus 1 | mol_type=genomic RNA | isolate=VNUA/PRRSV/HY4/22 | host=swine | db_xref=taxon:1965066 | geo_loc_name=Viet Nam | collection_date=20-Aug-2022 | note=EU,True,False,SUPPORTED,
OR540454.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-YB04 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-YB04 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=30-Oct-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540453.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-YB03 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-YB03 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=15-Sep-2021,False,False,NO_DIRECT_TYPE_TEXT,
OR540452.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-YB02 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-YB02 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=13-Apr-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540451.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-YB01 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-YB01 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=14-May-2023,False,False,NO_DIRECT_TYPE_TEXT,
OR540450.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-YA04 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-YA04 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=21-Apr-2022,False,False,NO_DIRECT_TYPE_TEXT,
OR540449.1,Type I,"Porcine reproductive and respiratory syndrome virus strain SCABTC-YA03 glycoprotein 5 (ORF5) gene, complete cds",Porcine reproductive and respiratory syndrome virus,organism=Porcine reproductive and respiratory syndrome virus | mol_type=genomic RNA | strain=SCABTC-YA03 | isolation_source=serum | host=Sus scrofa | db_xref=taxon:28344 | geo_loc_name=China | collection_date=01-Feb-2022,False,False,NO_DIRECT_TYPE_TEXT,
