id,organism,country,collection_date,host,gene,prrsv_type,length,date_cached,metadata_completeness
PX495223.1,"['PX495223.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
PX495222.1,"['PX495222.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
PX495221.1,"['PX495221.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
PX495220.1,"['PX495220.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
PX495219.1,"['PX495219.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
PX123095.1,"['PX123095.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
PX123086.1,"['PX123086.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
PX123074.1,"['PX123074.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
OR800828.1,"['OR800828.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
OR540454.1,"['OR540454.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540453.1,"['OR540453.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,600,2026-01-03 15:20:08,0.75
OR540452.1,"['OR540452.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540451.1,"['OR540451.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540450.1,"['OR540450.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540449.1,"['OR540449.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540448.1,"['OR540448.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540447.1,"['OR540447.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540446.1,"['OR540446.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540445.1,"['OR540445.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540444.1,"['OR540444.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540443.1,"['OR540443.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540442.1,"['OR540442.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540441.1,"['OR540441.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540440.1,"['OR540440.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540439.1,"['OR540439.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540438.1,"['OR540438.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540437.1,"['OR540437.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,600,2026-01-03 15:20:08,0.75
OR540436.1,"['OR540436.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540435.1,"['OR540435.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,603,2026-01-03 15:20:08,0.75
OR540434.1,"['OR540434.1', 'Porcine', 'reproductive', 'and', 'respiratory']",N/A,N/A,Sus scrofa,ORF5,Type I,606,2026-01-03 15:20:08,0.75
