accession,local_found,genbank_ok,local_length,genbank_orf5_length,sequence_identical,local_sha256,genbank_sha256,status,error
PX495223.1,True,True,606,606,True,12e7f538174cf22ea63602e168fe5716c64b6d842d2752dbc00e82b4385e7b3c,12e7f538174cf22ea63602e168fe5716c64b6d842d2752dbc00e82b4385e7b3c,IDENTICAL,
PX495222.1,True,True,606,606,True,0b40319e653efcccfd4c137cbd98722cca96afdfb4bd7695fd4f062ec08d2d6c,0b40319e653efcccfd4c137cbd98722cca96afdfb4bd7695fd4f062ec08d2d6c,IDENTICAL,
PX495221.1,True,True,606,606,True,ec2123ccf493773a7f231356493450130692e4c5bff5a24de376725ceca35fcd,ec2123ccf493773a7f231356493450130692e4c5bff5a24de376725ceca35fcd,IDENTICAL,
PX495220.1,True,True,606,606,True,039f82822eccaa8e4df4983da4355ec445f28dcecb2c953fdc3a7a34e426aa6b,039f82822eccaa8e4df4983da4355ec445f28dcecb2c953fdc3a7a34e426aa6b,IDENTICAL,
PX495219.1,True,True,606,606,True,bc410eb741ba83c129f80a05968df5ccfde99231f26b6d3d55affee40b1c39eb,bc410eb741ba83c129f80a05968df5ccfde99231f26b6d3d55affee40b1c39eb,IDENTICAL,
PX123095.1,True,True,606,606,True,daaef0ec340f2b2049c6d2b7975808a1fec1cb558dd9845ffa058ebcc577a6ab,daaef0ec340f2b2049c6d2b7975808a1fec1cb558dd9845ffa058ebcc577a6ab,IDENTICAL,
PX123086.1,True,True,606,606,True,daaef0ec340f2b2049c6d2b7975808a1fec1cb558dd9845ffa058ebcc577a6ab,daaef0ec340f2b2049c6d2b7975808a1fec1cb558dd9845ffa058ebcc577a6ab,IDENTICAL,
PX123074.1,True,True,606,606,True,a2035ef1771233fc13b8838706a717c96a490c27201a6f78df9c17a15b48ec04,a2035ef1771233fc13b8838706a717c96a490c27201a6f78df9c17a15b48ec04,IDENTICAL,
OR800828.1,True,True,606,606,True,c6bd68ac36637527ad4227c7b516d723c8560d419ef74f8edf1b4e7c7a944743,c6bd68ac36637527ad4227c7b516d723c8560d419ef74f8edf1b4e7c7a944743,IDENTICAL,
OR540454.1,True,True,603,603,True,e567ad13febe10c54a57da59a5f81e1b1f3a1c9b895889d57215be88937fc1cb,e567ad13febe10c54a57da59a5f81e1b1f3a1c9b895889d57215be88937fc1cb,IDENTICAL,
OR540453.1,True,True,600,600,True,6e5e16bd73db634f1f82783a5bc395fbeb61dfa68243eab451b0d8a5d92d8346,6e5e16bd73db634f1f82783a5bc395fbeb61dfa68243eab451b0d8a5d92d8346,IDENTICAL,
OR540452.1,True,True,603,603,True,afb2e19864b3733b7adc6c82e66db9fe288b717f760510cba915283050454484,afb2e19864b3733b7adc6c82e66db9fe288b717f760510cba915283050454484,IDENTICAL,
OR540451.1,True,True,603,603,True,3bf29071af9b782df1dcbf5f0bef28524cb1fd5a0a4c0188f32e253f9548fb5f,3bf29071af9b782df1dcbf5f0bef28524cb1fd5a0a4c0188f32e253f9548fb5f,IDENTICAL,
OR540450.1,True,True,603,603,True,af73807194a080e8c2836b395fe91f316ec68ffa898e535768fff65f4bd55826,af73807194a080e8c2836b395fe91f316ec68ffa898e535768fff65f4bd55826,IDENTICAL,
OR540449.1,True,True,603,603,True,5f7a5ccd6b8a28fd0f323ed0cab1c16be1672c5a9932434eec106cc0b4f05bd2,5f7a5ccd6b8a28fd0f323ed0cab1c16be1672c5a9932434eec106cc0b4f05bd2,IDENTICAL,
OR540448.1,True,True,603,603,True,8dbe014238d5465dedb98f0c4ab4e2077304f56c1837fba86b6692441f864c4a,8dbe014238d5465dedb98f0c4ab4e2077304f56c1837fba86b6692441f864c4a,IDENTICAL,
OR540447.1,True,True,603,603,True,a8553b7baac346ee396d1c517e9e967524e02cc06553b0173e7a222df9941237,a8553b7baac346ee396d1c517e9e967524e02cc06553b0173e7a222df9941237,IDENTICAL,
OR540446.1,True,True,603,603,True,3af58deed1ad7275500ebb408f45fb76291e656006dd4578d6a1718f19033bd8,3af58deed1ad7275500ebb408f45fb76291e656006dd4578d6a1718f19033bd8,IDENTICAL,
OR540445.1,True,True,603,603,True,29299032c4e3e0cdb6067ffd252de80a55fe1a5b5d3ced5371e98e7d8ecb955c,29299032c4e3e0cdb6067ffd252de80a55fe1a5b5d3ced5371e98e7d8ecb955c,IDENTICAL,
OR540444.1,True,True,603,603,True,aaab9a750c406eeaeb99683085793b738cf13865eb8f25f4ba597314953bbff1,aaab9a750c406eeaeb99683085793b738cf13865eb8f25f4ba597314953bbff1,IDENTICAL,
OR540443.1,True,True,603,603,True,c9dda2bc7bcd76647caa005d3aad3b3623559731a2e4a7202ab14a74eaef7596,c9dda2bc7bcd76647caa005d3aad3b3623559731a2e4a7202ab14a74eaef7596,IDENTICAL,
OR540442.1,True,True,603,603,True,7bc80ad3e9bafefcc9a4caa8a4618710f62cbabf9ed997ece8715072ac0a43f5,7bc80ad3e9bafefcc9a4caa8a4618710f62cbabf9ed997ece8715072ac0a43f5,IDENTICAL,
OR540441.1,True,True,603,603,True,447fcd684067cae945247f061ac9184cca30c57a170908f1dcf4580d769c62aa,447fcd684067cae945247f061ac9184cca30c57a170908f1dcf4580d769c62aa,IDENTICAL,
OR540440.1,True,True,603,603,True,5244f2c6fb94a8f00c91e8cf98704b6d0e60bdc2c43fb3877e407db43a424ff7,5244f2c6fb94a8f00c91e8cf98704b6d0e60bdc2c43fb3877e407db43a424ff7,IDENTICAL,
OR540439.1,True,True,603,603,True,761859c5d66fe21be3aa386c89a618d36fe9726a46d055be625aa6dd3eaaffa7,761859c5d66fe21be3aa386c89a618d36fe9726a46d055be625aa6dd3eaaffa7,IDENTICAL,
OR540438.1,True,True,603,603,True,bd9dafd5420d677f1336763f998a9137c3b14179576cc584eada525293ffa652,bd9dafd5420d677f1336763f998a9137c3b14179576cc584eada525293ffa652,IDENTICAL,
OR540437.1,True,True,600,600,True,3d82f648e1555af9fc52cbdc4447900fb4e4d6af498dfa89bca9110be7939615,3d82f648e1555af9fc52cbdc4447900fb4e4d6af498dfa89bca9110be7939615,IDENTICAL,
OR540436.1,True,True,603,603,True,a3af8e624ce70df906bd62b792fef3447576399a5b85dfb54d70c95f1ba301cd,a3af8e624ce70df906bd62b792fef3447576399a5b85dfb54d70c95f1ba301cd,IDENTICAL,
OR540435.1,True,True,603,603,True,c68c95ddc33621e2adb23ee06305a8bd3d44117f89fdb1a3c696dc36248ffb0d,c68c95ddc33621e2adb23ee06305a8bd3d44117f89fdb1a3c696dc36248ffb0d,IDENTICAL,
OR540434.1,True,True,606,606,True,71de5f787bfaf949fb34f86bc105fbb601b3c23c51b36f3c9c020080e688a395,71de5f787bfaf949fb34f86bc105fbb601b3c23c51b36f3c9c020080e688a395,IDENTICAL,
OR540433.1,True,True,606,606,True,2c7792f2b82633dd95589fc661d3c3a9d9737254eb77e2d87c375df9635f1f0d,2c7792f2b82633dd95589fc661d3c3a9d9737254eb77e2d87c375df9635f1f0d,IDENTICAL,
OR540432.1,True,True,603,603,True,2173f035f0a6a1a4596489376725a645fa33d5847ad873da3358316823d408ad,2173f035f0a6a1a4596489376725a645fa33d5847ad873da3358316823d408ad,IDENTICAL,
OR540431.1,True,True,600,600,True,946ee17d91f055de822d52121936aeea2c42f4d14680c1bc47b78f281b780c7e,946ee17d91f055de822d52121936aeea2c42f4d14680c1bc47b78f281b780c7e,IDENTICAL,
OR540430.1,True,True,603,603,True,96d203c247309719cc40389b0ab8fd372deacd2d14eafb8ac32556ff32c2c205,96d203c247309719cc40389b0ab8fd372deacd2d14eafb8ac32556ff32c2c205,IDENTICAL,
OR540429.1,True,True,603,603,True,24847b44f3ccf62fa37cdabaac7b5db090957a4a1a93523d95fb5a806e09f155,24847b44f3ccf62fa37cdabaac7b5db090957a4a1a93523d95fb5a806e09f155,IDENTICAL,
OR540428.1,True,True,603,603,True,bd9dafd5420d677f1336763f998a9137c3b14179576cc584eada525293ffa652,bd9dafd5420d677f1336763f998a9137c3b14179576cc584eada525293ffa652,IDENTICAL,
OR540427.1,True,True,603,603,True,d866eb7584e223a4e26e44ff8118edb7cf9aff95d7b5c5cffc3eb54827d29cb0,d866eb7584e223a4e26e44ff8118edb7cf9aff95d7b5c5cffc3eb54827d29cb0,IDENTICAL,
OR540426.1,True,True,600,600,True,db99248aea45edcbf5691d07ca72c69af30294c390bcfaab5c8ea3b72850d4b1,db99248aea45edcbf5691d07ca72c69af30294c390bcfaab5c8ea3b72850d4b1,IDENTICAL,
OR540425.1,True,True,603,603,True,711736c0c014f5c83a2dfb76b812e68e59a4e450f2f992df0f9e03a9e4248ad2,711736c0c014f5c83a2dfb76b812e68e59a4e450f2f992df0f9e03a9e4248ad2,IDENTICAL,
OR540424.1,True,True,603,603,True,d862e9e4e62d794c710716404be02f5ef112c9bc0088e1c8dab821ef7a3bfc06,d862e9e4e62d794c710716404be02f5ef112c9bc0088e1c8dab821ef7a3bfc06,IDENTICAL,
PX123104.1,True,True,603,603,True,31c31f194e99c67a7e782f8a303e6b119fd59f70486e1e440ae2c4d9a6505a3e,31c31f194e99c67a7e782f8a303e6b119fd59f70486e1e440ae2c4d9a6505a3e,IDENTICAL,
